label,score,system_verdict,title_a,title_b,starts_a,starts_b,venue_a,venue_b,source_a,source_b,fingerprint_a,fingerprint_b
,0.541,adjudicate:different,KEPLER SALON EXTRA: I SAG GAR NIX – Berühmte Szenen von Karl Valentin und Liesl Karlstadt (ausverkauft),Kepler Salon Extra: Die Orchesterprobe und andere Katastrophen,2026-07-09T00:00:00+02:00,2026-07-09T20:00:00+02:00,Kepler Salon,Kepler Salon,JKU Events,linztermine.at (open data XML),kepler salon extra i sag gar nix beruehmte szenen karl valentin liesl karlstadt ausverkauft|2026-07-09|9667:1905,kepler salon extra orchesterprobe andere katastrophen|2026-07-09|
,0.541,adjudicate:different,KEPLER SALON EXTRA: I SAG GAR NIX – Berühmte Szenen von Karl Valentin und Liesl Karlstadt (ausverkauft),Kepler Salon Extra: Die Orchesterprobe und andere Katastrophen,2026-07-10T00:00:00+02:00,2026-07-10T20:00:00+02:00,Kepler Salon,Kepler Salon,JKU Events,linztermine.at (open data XML),kepler salon extra i sag gar nix beruehmte szenen karl valentin liesl karlstadt ausverkauft|2026-07-10|9667:1905,kepler salon extra orchesterprobe andere katastrophen|2026-07-10|
,0.541,adjudicate:uncached,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Führung: Bauernkrieg 1626,2026-07-09T00:00:00+02:00,2026-07-09T16:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,fuehrung bauernkrieg|2026-07-09|
,0.54,adjudicate:different,Klassik am Dom: Musical am Dom,Im Licht der Taschenlampen,2026-07-10T20:00:00+02:00,2026-07-10T20:00:00+02:00,Domplatz Mariendom,"Mariendom Linz, Linz",linztermine.at (open data XML),Mariendom Linz,klassik dom musical dom|2026-07-10|,licht taschenlampen|2026-07-10|
,0.54,adjudicate:different,Klassik am Dom 2026,Im Licht der Taschenlampen,2026-07-10T20:00:00+02:00,2026-07-10T20:00:00+02:00,Domplatz Mariendom,"Mariendom Linz, Linz",linztermine.at (open data XML),Mariendom Linz,klassik dom|2026-07-10|,licht taschenlampen|2026-07-10|
,0.54,adjudicate:uncached,Escape Rooms bei Masters Of Escape,Salsa Night,2026-07-08T20:00:00+02:00,2026-07-08T20:00:00+02:00,Escape Room Linz: Masters Of Escape,"Remembar, Linz",linztermine.at (open data XML),LOVE2SALSA (Salsa & Bachata Workshops Linz),escape rooms masters escape|2026-07-08|,salsa night|2026-07-08|
,0.54,adjudicate:uncached,Heimstunde - Mittwoch 17:30-19:00,Wednesday Tempo mit Run Crew Linz,2026-07-08T17:30:00+02:00,2026-07-08T18:00:00+02:00,Pfarre Hl. Geist,Runners Store Linz,Pfadfinder*innengruppe Linz 12 – Urfahr (Linz 12),linztermine.at (open data XML),heimstunde mittwoch|2026-07-08|,wednesday tempo run crew linz|2026-07-08|
,0.54,adjudicate:uncached,Sommer,Wochentagsmesse,2026-07-08T08:00:00+02:00,2026-07-08T08:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,"Urfahr-Christkönig - Wochentagskirche Urfahr-Christkönig, Linz",linztermine.at (open data XML),Pfarre Linz Christkönig,sommer|2026-07-08|,wochentagsmesse|2026-07-08|
,0.54,adjudicate:different,Dienstagabend im Mariendom,Musik und Wort,2026-07-14T19:30:00+02:00,2026-07-14T19:30:00+02:00,Neuer Dom (Mariendom),"Mariendom Linz, Linz",linztermine.at (open data XML),Mariendom Linz,dienstagabend mariendom|2026-07-14|,musik wort|2026-07-14|
,0.54,adjudicate:uncached,Advanced Training Standard und Latein,Eucharistiefeier,2026-07-07T19:00:00+02:00,2026-07-07T19:00:00+02:00,Sportunion Tanzsportklub Linz,Pfarrgemeinde Urfahr-Hl. Geist,linztermine.at (open data XML),Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),advanced training standard latein|2026-07-07|,eucharistiefeier|2026-07-07|
,0.54,adjudicate:uncached,Dienstags-Kajaktraining (Bewegt im Park),Jungschar-Stunde,2026-07-07T17:30:00+02:00,2026-07-07T17:00:00+02:00,"ASKÖ Kajakverein Donau Linz, Heilhamerweg 2, 4040 Linz",Pfarrgemeinde Urfahr-Hl. Geist,ASKÖ Kajakverein Donau Linz,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),dienstags kajaktraining bewegt park|2026-07-07|,jungschar stunde|2026-07-07|
,0.54,adjudicate:different,Fit im Kajak auf der Donau,Jungschar-Stunde,2026-07-07T17:30:00+02:00,2026-07-07T17:00:00+02:00,Bootshaus Donau Linz,Pfarrgemeinde Urfahr-Hl. Geist,linztermine.at (open data XML),Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),fit kajak donau|2026-07-07|,jungschar stunde|2026-07-07|
,0.54,adjudicate:uncached,Eucharistiefeier,Fotoausstellung Beifang,2026-07-10T08:30:00+02:00,2026-07-10T09:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Fotogalerie OÖ im OÖ Kulturquartier,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-10|,fotoausstellung beifang|2026-07-10|
,0.54,adjudicate:uncached,Eucharistiefeier,Wochentagsmesse,2026-07-10T08:30:00+02:00,2026-07-10T08:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,"Urfahr-Christkönig - Wochentagskirche Urfahr-Christkönig, Linz",Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),Pfarre Linz Christkönig,eucharistiefeier|2026-07-10|,wochentagsmesse|2026-07-10|
,0.54,adjudicate:different,Familien-Tanztheater: König der Löwen,Musical am Dom,2026-07-10T18:00:00+02:00,2026-07-10T18:00:00+02:00,Theater Maestro Linz,Domplatz Linz,linztermine.at (open data XML),Klassik am Dom,familien tanztheater koenig loewen|2026-07-10|,musical dom|2026-07-10|
,0.54,adjudicate:uncached,Sommer,Wochentagsmesse,2026-07-10T08:00:00+02:00,2026-07-10T08:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,"Urfahr-Christkönig - Wochentagskirche Urfahr-Christkönig, Linz",linztermine.at (open data XML),Pfarre Linz Christkönig,sommer|2026-07-10|,wochentagsmesse|2026-07-10|
,0.54,adjudicate:uncached,Escape Rooms bei Masters Of Escape,Rainhard Fendrich - Klassik am Dom,2026-07-11T20:00:00+02:00,2026-07-11T20:00:00+02:00,Escape Room Linz: Masters Of Escape,Domplatz Linz,linztermine.at (open data XML),Klassik am Dom,escape rooms masters escape|2026-07-11|,rainhard fendrich klassik dom|2026-07-11|
,0.54,adjudicate:uncached,Eucharistiefeier,Gottesdienst nach Sommerordnung,2026-07-12T09:30:00+02:00,2026-07-12T09:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,"Urfahr-Christkönig - Pfarrkirche Linz-Christkönig, Linz",Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),Pfarre Linz Christkönig,eucharistiefeier|2026-07-12|,gottesdienst nach sommerordnung|2026-07-12|
,0.54,adjudicate:uncached,Eucharistiefeier,Das Josef Sonntagsfrühstück,2026-07-12T09:30:00+02:00,2026-07-12T09:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Josef Linz,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-12|,josef sonntagsfruehstueck|2026-07-12|
,0.54,adjudicate:uncached,Gottesdienst (Eucharistiefeier),Das Josef Sonntagsfrühstück,2026-07-12T09:00:00+02:00,2026-07-12T09:00:00+02:00,Pfarrkirche Linz-St. Magdalena,Josef Linz,Pfarre Urfahr - St. Magdalena (Diözese Linz),linztermine.at (open data XML),gottesdienst eucharistiefeier|2026-07-12|,josef sonntagsfruehstueck|2026-07-12|
,0.54,adjudicate:uncached,Gottesdienst (Eucharistiefeier),Sunday Long Run mit Run Crew Linz,2026-07-12T09:00:00+02:00,2026-07-12T08:30:00+02:00,Pfarrkirche Linz-St. Magdalena,Runners Store Linz,Pfarre Urfahr - St. Magdalena (Diözese Linz),linztermine.at (open data XML),gottesdienst eucharistiefeier|2026-07-12|,sunday long run run crew linz|2026-07-12|
,0.54,adjudicate:uncached,Wortgottesfeier mit Caritas-Haussammlung,Die Zwerge freuen sich auf den Besuch,2026-07-12T10:00:00+02:00,2026-07-12T10:00:00+02:00,Pfarrkirche Linz-St. Theresia,Linz Linien Grottenbahn,Pfarre Linz-St. Theresia (Diözese Linz),linztermine.at (open data XML),wortgottesfeier caritas haussammlung|2026-07-12|,zwerge freuen sich besuch|2026-07-12|
,0.54,adjudicate:uncached,Advanced Training Standard und Latein,Eucharistiefeier,2026-07-14T19:00:00+02:00,2026-07-14T19:00:00+02:00,Sportunion Tanzsportklub Linz,Pfarrgemeinde Urfahr-Hl. Geist,linztermine.at (open data XML),Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),advanced training standard latein|2026-07-14|,eucharistiefeier|2026-07-14|
,0.54,adjudicate:uncached,Don Pasquale,Das Spiel ist aus,2026-07-03T19:30:00+02:00,2026-07-03T20:00:00+02:00,Großer Saal Musiktheater,Musiktheater,Landestheater Linz,linztermine.at (open data XML),don pasquale|2026-07-03|9660:1900,spiel ist aus|2026-07-03|
,0.54,adjudicate:different,Produktionspreis des 39. Internationalen Wettbewerbs für Choreografie Hannover 2025,Das Spiel ist aus,2026-07-03T20:00:00+02:00,2026-07-03T20:00:00+02:00,BlackBox,BlackBox Musiktheater,linztermine.at (open data XML),Landestheater Linz,produktionspreis internationalen wettbewerbs choreografie hannover|2026-07-03|,spiel ist aus|2026-07-03|9660:1900
,0.54,adjudicate:different,Das Spiel ist aus,Turandot (Oper) Giacomo Puccini,2026-07-06T20:00:00+02:00,2026-07-06T19:30:00+02:00,Musiktheater,Großer Saal Musiktheater,linztermine.at (open data XML),Landestheater Linz,spiel ist aus|2026-07-06|,turandot oper giacomo puccini|2026-07-06|9660:1900
,0.54,adjudicate:different,Das Spiel ist aus,Turandot,2026-07-06T20:00:00+02:00,2026-07-06T19:30:00+02:00,Musiktheater,Großer Saal Musiktheater,linztermine.at (open data XML),Landestheater Linz,spiel ist aus|2026-07-06|,turandot|2026-07-06|9660:1900
,0.54,adjudicate:uncached,Tanzoptikum 2026,Wonderful Town,2026-07-04T17:00:00+02:00,2026-07-04T17:00:00+02:00,BlackBox,Großer Saal Musiktheater,linztermine.at (open data XML),Landestheater Linz,tanzoptikum|2026-07-04|,wonderful town|2026-07-04|9660:1900
,0.54,adjudicate:uncached,Tanzoptikum 2026,Wiener Blut,2026-07-05T17:00:00+02:00,2026-07-05T17:00:00+02:00,BlackBox,Großer Saal Musiktheater,linztermine.at (open data XML),Landestheater Linz,tanzoptikum|2026-07-05|,wiener blut|2026-07-05|9660:1900
,0.54,adjudicate:uncached,Eucharistiefeier mit Pfarrvikar Dieter Reutershahn,Wochentagsmesse,2026-07-09T08:15:00+02:00,2026-07-09T08:00:00+02:00,Pfarrkirche Linz-St. Magdalena,"Urfahr-Christkönig - Wochentagskirche Urfahr-Christkönig, Linz",Pfarre Urfahr - St. Magdalena (Diözese Linz),Pfarre Linz Christkönig,eucharistiefeier pfarrvikar dieter reutershahn|2026-07-09|,wochentagsmesse|2026-07-09|
,0.54,adjudicate:uncached,Eucharistiefeier,Wochentagsmesse,2026-07-09T08:00:00+02:00,2026-07-09T08:00:00+02:00,Pfarrkirche Linz-St. Theresia,"Urfahr-Christkönig - Wochentagskirche Urfahr-Christkönig, Linz",Pfarre Linz-St. Theresia (Diözese Linz),Pfarre Linz Christkönig,eucharistiefeier|2026-07-09|,wochentagsmesse|2026-07-09|
,0.54,adjudicate:uncached,Karaoke-Party & Alm-Liebe,Rox unplugged!,2026-07-09T22:00:00+02:00,2026-07-09T21:30:00+02:00,Linzer Alm,ROX Musicbar & Grill Linz,Linzer Alm,linztermine.at (open data XML),karaoke party alm liebe|2026-07-09|,rox unplugged|2026-07-09|
,0.54,adjudicate:uncached,Sommer,Wochentagsmesse,2026-07-09T08:00:00+02:00,2026-07-09T08:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,"Urfahr-Christkönig - Wochentagskirche Urfahr-Christkönig, Linz",linztermine.at (open data XML),Pfarre Linz Christkönig,sommer|2026-07-09|,wochentagsmesse|2026-07-09|
,0.54,adjudicate:uncached,Kickboxen,Nina Chuba: Live 2026,2026-07-10T17:00:00+02:00,2026-07-10T16:30:00+02:00,"Urfahraner Donaulände, neben Beachsoccerplatz",Donaulände,FPH Linz (Freizeitsportverein PH OÖ),linztermine.at (open data XML),kickboxen|2026-07-10|,nina chuba live|2026-07-10|
,0.54,adjudicate:uncached,Quadball – Ballsport im Team,Spartans Playground – HIIT & Kraftausdauer,2026-07-08T18:00:00+02:00,2026-07-08T18:30:00+02:00,Donaulände,"Urfahraner Donaulände – beim Gasthaus Lindbauer runter Richtung Voestbrücke, gleich beim Beachsoccerplatz",linztermine.at (open data XML),FPH Linz (Freizeitsportverein PH OÖ),quadball ballsport team|2026-07-08|,spartans playground hiit kraftausdauer|2026-07-08|
,0.533,adjudicate:uncached,"Hello, Clients!",90 Jahre Tabakfabrik Linz – Ausstellung,2026-07-09T09:00:00+02:00,2026-07-09T09:00:00+02:00,Tabakfabrik,Tabakfabrik Linz,Kupfticket,linztermine.at (open data XML),hello clients|2026-07-09|,jahre tabakfabrik linz ausstellung|2026-07-09|
,0.507,adjudicate:different,Musik der Energie AG im Musikpavillon,Musikpavillon 2026 Sommer Open-Air im Donaupark,2026-07-07T19:00:00+02:00,2026-07-07T00:00:00+02:00,Musikpavillon,Musikpavillon im Linzer Donaupark,linztermine.at (open data XML),Musikpavillon (Stadt Linz) / Donaupark,musik energie ag musikpavillon|2026-07-07|,musikpavillon sommer open air donaupark|2026-07-07|
,0.495,distinct,OK Platz Sommerfest,Sommer,2026-07-03T00:00:00+02:00,2026-07-03T08:00:00+02:00,OK Linz,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,OÖ Kulturquartier,linztermine.at (open data XML),ok platz sommerfest|2026-07-03|9661:1900,sommer|2026-07-03|
,0.493,distinct,Gottesdienst (Eucharistiefeier),Sommerordnung der Gottesdienste (Christkönig),2026-07-12T09:00:00+02:00,2026-07-12T00:00:00+02:00,Pfarrkirche Linz-St. Magdalena,Pfarrgemeinde Urfahr-Christkönig,Pfarre Urfahr - St. Magdalena (Diözese Linz),Pfarre Urfahr - St. Junia (Diözese Linz),gottesdienst eucharistiefeier|2026-07-12|,sommerordnung gottesdienste christkoenig|2026-07-12|
,0.49,distinct,Escape Rooms bei Masters Of Escape,thursdays4jazz mit &amp;quot;Rifftett&amp;quot;,2026-07-09T20:00:00+02:00,2026-07-09T20:30:00+02:00,Escape Room Linz: Masters Of Escape,OKH Offenes Kunst- und Kulturhaus Vöcklabruck,linztermine.at (open data XML),Kupfticket,escape rooms masters escape|2026-07-09|,thursdays jazz amp quot rifftett amp quot|2026-07-09|
,0.49,distinct,Hobbyclub,thursdays4jazz mit &amp;quot;Rifftett&amp;quot;,2026-07-09T20:00:00+02:00,2026-07-09T20:30:00+02:00,Sportunion Tanzsportklub Linz,OKH Offenes Kunst- und Kulturhaus Vöcklabruck,linztermine.at (open data XML),Kupfticket,hobbyclub|2026-07-09|,thursdays jazz amp quot rifftett amp quot|2026-07-09|
,0.49,distinct,Prison Break (Escape Room),thursdays4jazz mit &amp;quot;Rifftett&amp;quot;,2026-07-09T20:00:00+02:00,2026-07-09T20:30:00+02:00,Escape Room Linz: Masters Of Escape,OKH Offenes Kunst- und Kulturhaus Vöcklabruck,linztermine.at (open data XML),Kupfticket,prison break escape room|2026-07-09|,thursdays jazz amp quot rifftett amp quot|2026-07-09|
,0.49,distinct,thursdays4jazz mit &amp;quot;Rifftett&amp;quot;,Wudang Shan (Escape Room),2026-07-09T20:30:00+02:00,2026-07-09T20:00:00+02:00,OKH Offenes Kunst- und Kulturhaus Vöcklabruck,Escape Room Linz: Masters Of Escape,Kupfticket,linztermine.at (open data XML),thursdays jazz amp quot rifftett amp quot|2026-07-09|,wudang shan escape room|2026-07-09|
,0.483,distinct,GuSp Sommerlager [Jebing],GuSp-Sommerlager in St. Georgen/Attergau,2026-07-18T00:00:00+02:00,2026-07-18T00:00:00+02:00,,,Pfadfindergruppe Linz 2 (Linz2),Pfadfindergruppe Linz 6,gusp sommerlager jebing|2026-07-18|,gusp sommerlager st georgen attergau|2026-07-18|
,0.478,distinct,OPEN SUNDAY voestalpine OPEN SPACE,Sunday Long Run mit Run Crew Linz,2026-07-12T00:00:00+02:00,2026-07-12T08:30:00+02:00,OK Linz,Runners Store Linz,OÖ Kulturquartier,linztermine.at (open data XML),open sunday voestalpine open space|2026-07-12|9661:1900,sunday long run run crew linz|2026-07-12|
,0.478,distinct,OPEN SUNDAY voestalpine OPEN SPACE,Sunday Long Run mit Run Crew Linz,2026-07-05T00:00:00+02:00,2026-07-05T08:30:00+02:00,OK Linz,Runners Store Linz,OÖ Kulturquartier,linztermine.at (open data XML),open sunday voestalpine open space|2026-07-05|9661:1900,sunday long run run crew linz|2026-07-05|
,0.468,distinct,Sommerbespielung im Schaufenster: Kreisgeflüster,Sommerordnung der Gottesdienste (Christkönig),2026-07-12T00:00:00+02:00,2026-07-12T00:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrgemeinde Urfahr-Christkönig,linztermine.at (open data XML),Pfarre Urfahr - St. Junia (Diözese Linz),sommerbespielung schaufenster kreisgefluester|2026-07-12|,sommerordnung gottesdienste christkoenig|2026-07-12|
,0.466,distinct,Après-Ski & Stimmungshits – Freitagsparty,Freitagsausfahrt,2026-07-10T22:00:00+02:00,2026-07-10T00:00:00+02:00,Linzer Alm,ASKÖ Kajakverein Donau Linz,Linzer Alm,ASKÖ Kajakverein Donau Linz,apres ski stimmungshits freitagsparty|2026-07-10|,freitagsausfahrt|2026-07-10|
,0.465,distinct,SPG ASKÖ Linz Steg - Voest – Vereinsabend,Wednesday Tempo mit Run Crew Linz,2026-07-08T00:00:00+02:00,2026-07-08T18:00:00+02:00,ASKÖ – Linz / Steg,Runners Store Linz,Schach OÖ Vereinsverzeichnis,linztermine.at (open data XML),spg askoe linz steg voest vereinsabend|2026-07-08|,wednesday tempo run crew linz|2026-07-08|
,0.463,distinct,Gottesdienst nach Sommerordnung,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-12T09:00:00+02:00,2026-07-12T00:00:00+02:00,"Urfahr-Christkönig - Pfarrkirche Linz-Christkönig, Linz",Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarre Linz Christkönig,linztermine.at (open data XML),gottesdienst nach sommerordnung|2026-07-12|,sommerbespielung schaufenster kreisgefluester|2026-07-12|
,0.459,distinct,Dinner in the Dark - Kulinarisches Abenteuer im Dunkeln,Schachverein Hörsching – wöchentliches Treffen (Erwachsene),2026-07-10T19:00:00+02:00,2026-07-10T19:00:00+02:00,,,eventfinder.at Linz,ASKÖ Schachverein Hörsching,dinner dark kulinarisches abenteuer dunkeln|2026-07-10|,schachverein hoersching woechentliches treffen erwachsene|2026-07-10|
,0.457,distinct,Jungschar-Stunde,Private Yogastunden,2026-07-07T17:00:00+02:00,2026-07-07T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,"Yogainstitut Klammstraße 7 (Innenhof), 4020 Linz",Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",jungschar stunde|2026-07-07|,private yogastunden|2026-07-07|
,0.452,distinct,OK Platz Sommerfest,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-03T00:00:00+02:00,2026-07-03T00:00:00+02:00,OK Linz,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,OÖ Kulturquartier,linztermine.at (open data XML),ok platz sommerfest|2026-07-03|9661:1900,sommerbespielung schaufenster kreisgefluester|2026-07-03|
,0.452,distinct,BAUERN | SCHACH | NOVELLEN (Theater),Führung: Bauernkrieg 1626,2026-07-04T00:00:00+02:00,2026-07-04T14:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,fuehrung bauernkrieg|2026-07-04|
,0.451,distinct,Polterrunde – Polter-Laube reservieren,Stillrunde,2026-07-07T00:00:00+02:00,2026-07-07T09:30:00+02:00,Linzer Alm,Eltern-Kind-Zentrum der Stadt Linz Ebelsberg-Ennsfeld,Linzer Alm,linztermine.at (open data XML),polterrunde polter laube reservieren|2026-07-07|,stillrunde|2026-07-07|
,0.451,distinct,BAUERN | SCHACH | NOVELLEN (Theater),Schlossmuseum Dauerausstellungen,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,schlossmuseum dauerausstellungen|2026-07-04|
,0.45,distinct,Salsa tanzen im Sand,Schnupperklettern,2026-07-07T17:00:00+02:00,2026-07-07T17:00:00+02:00,,,Sandburg - Strand küsst Bar (Sandburg Strandbar),Kletterhalle Linz (Auwiesen),salsa tanzen sand|2026-07-07|,schnupperklettern|2026-07-07|
,0.45,distinct,Klassik am Dom 2026 - Erwin Schrott,Summer Special - Pauli Friess Commercial Class Level 2,2026-07-16T20:00:00+02:00,2026-07-16T19:30:00+02:00,,,eventfinder.at Linz,Style in Motion (The Base Linz),klassik dom erwin schrott|2026-07-16|,summer special pauli friess commercial class level|2026-07-16|
,0.449,distinct,Salsa Abend in der Sandburg,Schnupperklettern,2026-07-07T16:30:00+02:00,2026-07-07T17:00:00+02:00,,,Sandburg - Strand küsst Bar (Sandburg Strandbar),Kletterhalle Linz (Auwiesen),salsa abend sandburg|2026-07-07|,schnupperklettern|2026-07-07|
,0.449,distinct,Pretty Woman - Romantisches Musical-Erlebnis,SK St. Magdalena vs SU St. Martin/Mühlkreis,2026-07-17T19:30:00+02:00,2026-07-17T19:00:00+02:00,,,eventfinder.at Linz,SK St. Magdalena,pretty woman romantisches musical erlebnis|2026-07-17|,sk st magdalena vs su st martin muehlkreis|2026-07-17|
,0.448,distinct,Menü im Restaurant pauls steak & veggi,Sommerfest 2026,2026-07-11T18:00:00+02:00,2026-07-11T18:30:00+02:00,,,eventfinder.at Linz,Sportclub Urfahr (SCU),menue restaurant pauls steak veggi|2026-07-11|,sommerfest|2026-07-11|
,0.447,distinct,BAUERN | SCHACH | NOVELLEN (Theater),communale oö 2026: Bauern­krieg 1626 – Zwischen Geschichte und Fiktion,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,communale ooe bauernkrieg zwischen geschichte fiktion|2026-07-04|
,0.444,distinct,Polterrunde – Polter-Laube reservieren,Private Yogastunden,2026-07-07T00:00:00+02:00,2026-07-07T00:00:00+02:00,Linzer Alm,"Yogainstitut Klammstraße 7 (Innenhof), 4020 Linz",Linzer Alm,"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",polterrunde polter laube reservieren|2026-07-07|,private yogastunden|2026-07-07|
,0.444,distinct,Gottesdienst (Eucharistiefeier),Wortgottesfeier mit Caritas-Haussammlung,2026-07-12T09:00:00+02:00,2026-07-12T10:00:00+02:00,Pfarrkirche Linz-St. Magdalena,Pfarrkirche Linz-St. Theresia,Pfarre Urfahr - St. Magdalena (Diözese Linz),Pfarre Linz-St. Theresia (Diözese Linz),gottesdienst eucharistiefeier|2026-07-12|,wortgottesfeier caritas haussammlung|2026-07-12|
,0.444,distinct,Sommerordnung der Gottesdienste (Christkönig),Wortgottesfeier mit Caritas-Haussammlung,2026-07-12T00:00:00+02:00,2026-07-12T10:00:00+02:00,Pfarrgemeinde Urfahr-Christkönig,Pfarrkirche Linz-St. Theresia,Pfarre Urfahr - St. Junia (Diözese Linz),Pfarre Linz-St. Theresia (Diözese Linz),sommerordnung gottesdienste christkoenig|2026-07-12|,wortgottesfeier caritas haussammlung|2026-07-12|
,0.444,distinct,Pretty Woman - Romantisches Musical-Erlebnis,Summer Special - Pauli Friess Commercial Class Level 2,2026-07-16T19:30:00+02:00,2026-07-16T19:30:00+02:00,,,eventfinder.at Linz,Style in Motion (The Base Linz),pretty woman romantisches musical erlebnis|2026-07-16|,summer special pauli friess commercial class level|2026-07-16|
,0.443,distinct,Alles zum Thema Stahl und Stahlerzeugung!,Wiedereröffnung der voestalpine Stahlwelt - Touren ab 13. Juli,2026-07-13T09:00:00+02:00,2026-07-13T00:00:00+02:00,voestalpine Stahlwelt,voestalpine Stahlwelt,linztermine.at (open data XML),voestalpine Stahlwelt,alles thema stahl stahlerzeugung|2026-07-13|,wiedereroeffnung voestalpine stahlwelt touren ab juli|2026-07-13|
,0.443,distinct,Business Starter Info,Food Safari in Linz – Linzer Innenstadt,2026-07-04T00:00:00+02:00,2026-07-04T13:30:00+02:00,Courtyard Linz,Linz Innenstadt,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,food safari linz linzer innenstadt|2026-07-04|
,0.441,distinct,Monolog-Festival,Musical am Dom,2026-07-10T00:00:00+02:00,2026-07-10T18:00:00+02:00,Linz Innenstadt,Domplatz Linz,linztermine.at (open data XML),Klassik am Dom,monolog festival|2026-07-10|,musical dom|2026-07-10|
,0.441,distinct,Grafische Schätze aus der Sammlung Kastner,Schlossmuseum Dauerausstellungen,2026-07-10T00:00:00+02:00,2026-07-10T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),grafische schaetze aus sammlung kastner|2026-07-10|9661:1900,schlossmuseum dauerausstellungen|2026-07-10|
,0.44,distinct,4. FUN OL,Hl. Messe,2026-07-08T18:30:00+02:00,2026-07-08T18:00:00+02:00,,,Naturfreunde Linz – Sektion Orientierungslauf,Priesterbruderschaft St. Petrus Linz (Petrusbruderschaft Linz),fun ol|2026-07-08|,hl messe|2026-07-08|
,0.44,distinct,"BUMBUMKUNST (""M-DOT"" aus den USA, DJ URL & KENSEE)",&#x2728; THE LIPSYNC SMACKDOWN &#x2728;,2026-07-10T21:00:00+02:00,2026-07-10T21:00:00+02:00,,,CulturCafé Smaragd (CC Smaragd),ann and pat (Jugendkulturbox) – Verein Jugend & Freizeit,bumbumkunst m dot aus usa dj url kensee|2026-07-10|,x lipsync smackdown x|2026-07-10|
,0.44,distinct,"BUMBUMKUNST (M-DOT, DJ URL & KENSEE)",&#x2728; THE LIPSYNC SMACKDOWN &#x2728;,2026-07-10T21:00:00+02:00,2026-07-10T21:00:00+02:00,,,CulturCafé Smaragd (CC Smaragd),ann and pat (Jugendkulturbox) – Verein Jugend & Freizeit,bumbumkunst m dot dj url kensee|2026-07-10|,x lipsync smackdown x|2026-07-10|
,0.44,distinct,Menü im Restaurant pauls steak & veggi,Schachverein Hörsching – Jugendtraining,2026-07-10T18:00:00+02:00,2026-07-10T18:00:00+02:00,,,eventfinder.at Linz,ASKÖ Schachverein Hörsching,menue restaurant pauls steak veggi|2026-07-10|,schachverein hoersching jugendtraining|2026-07-10|
